accurate_moves,inaccurate_moves,mistake_moves,blunder_moves,average_cp_loss,accuracy_score,player,game_id,elo,result,cheat_ratio,label
0,5,5,2,183.33333333333334,81.66666666666666,white,game_97,1288,draw,0.42105263157894735,0
1,4,4,2,162.9090909090909,83.7090909090909,black,game_97,1302,draw,0.16666666666666666,0
5,4,1,36,385.6521739130435,61.43478260869565,white,game_98,1288,draw,0.7884615384615384,1
5,4,1,36,385.6304347826087,61.43695652173913,black,game_98,1302,draw,0.2549019607843137,0
22,29,0,0,34.13725490196079,96.58627450980393,white,game_99,1289,draw,0.34615384615384615,0
22,28,0,0,37.28,96.272,black,game_99,1302,draw,0.4807692307692308,0
27,2,17,14,183.01666666666668,81.69833333333332,white,game_100,1291,draw,0.3125,0
26,4,16,14,177.9,82.21,black,game_100,1302,draw,0.71875,1
3,18,7,33,292.655737704918,70.7344262295082,white,game_101,1292,draw,0.6029411764705882,0
3,21,4,34,288.8225806451613,71.11774193548388,black,game_101,1302,draw,0.5373134328358209,0
1,3,11,6,226.8095238095238,77.31904761904762,white,game_102,1293,draw,0.3181818181818182,0
1,7,7,5,194.55,80.545,black,game_102,1302,draw,0.0,0
1,7,8,9,238.88,76.112,white,game_103,1294,draw,0.18518518518518517,0
1,8,7,9,252.32,74.768,black,game_103,1302,draw,0.11538461538461539,0
8,4,7,25,322.84090909090907,67.7159090909091,white,game_104,1295,draw,0.41818181818181815,0
7,5,7,25,321.95454545454544,67.80454545454546,black,game_104,1302,draw,0.18518518518518517,0
1,6,9,31,347.6595744680851,65.23404255319149,white,game_105,1295,draw,0.0,0
1,6,10,29,345.7391304347826,65.42608695652174,black,game_105,1302,draw,0.5918367346938775,0
2,3,27,30,322.98387096774195,67.7016129032258,white,game_106,1296,draw,0.640625,0
3,6,23,30,317.06451612903226,68.29354838709678,black,game_106,1302,draw,0.2857142857142857,0
1,4,16,9,240.66666666666666,75.93333333333334,white,game_107,1296,draw,0.18181818181818182,0
2,3,18,6,217.06896551724137,78.29310344827586,black,game_107,1302,draw,0.06060606060606061,0
5,5,17,24,306.11764705882354,69.38823529411765,white,game_108,1300,draw,0.13559322033898305,0
5,3,14,28,321.42,67.858,black,game_108,1302,draw,0.3728813559322034,0
